,,Nombre,Bt.LISTA 1,Bt.LISTA 2,Rubro,Artículo
,,"ACEITE COCO NEUTRO ENTRENUTS ""SIN TACC"" x 200","5730,00","5110,00",ACEITES Y VINAGRES,2265
,,"ACEITE COCO NEUTRO ENTRENUTS ""SIN TACC"" x 360 G","9000,00","7680,00",ACEITES Y VINAGRES,2141
,,"ACEITE COCO VIRGEN ENTRENUTS ""SIN TACC"" X 200 g","10220,00","8720,00",ACEITES Y VINAGRES,2142
,,"ACEITE COCO VIRGEN ENTRENUTS ""SIN TACC"" X 360 g","17350,00","15000,00",ACEITES Y VINAGRES,2266
,,"ACEITE DE HIBISCUS 30 ml ""SOMOS SETAS""","13370,00","11750,00",SUPLEMENTOS,2467
,,"ACEITE DE LINO X 150 cc ""NUTRA SEM""","10650,00","9080,00",ACEITES Y VINAGRES,2386
,,"ACEITE DE LINO X 250 cc ""NUTRA SEM""","16000,00","13640,00",ACEITES Y VINAGRES,2387
,,ACEITE DE OLIVA   500 PET VERDE OLIVA ,"4200,00","3700,00",ACEITES Y VINAGRES,2119
,,ACEITE DE OLIVA   900ML VERDE OLIVA,"6520,00","5140,00",ACEITES Y VINAGRES,1894
,,ACEITE DE OLIVA  3 L VERDE OLIVA,"20360,00","16030,00",ACEITES Y VINAGRES,1908
,,ACEITE DE OLIVA  5 L VERDE OLIVA,"32360,00","25500,00",ACEITES Y VINAGRES,1909
,,ACEITE DE OLIVA  PANNOCCHIA X 500ML,"15270,00","12030,00",ACEITES Y VINAGRES,1013
,,ACEITE DE OLIVA  PANNOCCHIA X1L,"25170,00","19830,00",ACEITES Y VINAGRES,1011
,,ACEITE DE OLIVA  PANNOCCHIA X5L,"119400,00","94070,00",ACEITES Y VINAGRES,1014
,,ACEITE DE OLIVA  X 500 CC LAUR,"15530,00","12240,00",ACEITES Y VINAGRES,1002
,,ACEITE DE OLIVA  X1 L VID. LAUR,"31040,00","24460,00",ACEITES Y VINAGRES,1012
,,ACEITE DE OLIVA X  500 CC R.V.,"13530,00","10660,00",ACEITES Y VINAGRES,1009
,,ACEITE DE OLIVA X  900 CC R.V.,"22430,00","17680,00",ACEITES Y VINAGRES,1010
,,ACEITE DE OLIVA X 3 L R.V.,"64940,00","51180,00",ACEITES Y VINAGRES,1008
,,ACEITE DE OLIVA X 5 L R.V.,"107210,00","84470,00",ACEITES Y VINAGRES,1007
,,"ACEITE DE OREGANO X30CC ""SOMOS SETA""","14040,00","12340,00",SUPLEMENTOS,2185
,,"ACEITE DE ROMERO ""SUPPLY"" X30ML","8090,00","7110,00",SUPLEMENTOS,2282
,,ACEITE DE SÉSAMO X 250 ML NATRUSEM ,"17080,00","14580,00",ACEITES Y VINAGRES,2378
,,"ACEITE DE TOMILLO ""SUPPLY"" X30ML","8090,00","7110,00",SUPLEMENTOS,2293
,,ACEITE PURO DE ALMENDRAS X 50 CC,"4940,00","4220,00",SUPLEMENTOS,2377
,,ACEITE PURO DE ARGAN X 50CC,"9740,00","8310,00",SUPLEMENTOS,2277
,,ACEITE PURO DE ARNICA X50cc,"8160,00","6720,00",SUPLEMENTOS,2493
,,"ACEITE PURO DE RICINO ""EL NATURALISTA""","6220,00","5310,00",SUPLEMENTOS,2352
,,ACEITERO SPRAY X 100 ML,"8000,00","6000,00",PALADEAR HOME,2501
,,ACEITERO SPRAY x 200 ml,"10500,00","8000,00",PALADEAR HOME,2006
,,ACEITUNAS GRIEGAS X 1 KG,"16150,00","12720,00",ACEITUNAS,1024
,,ACEITUNAS GRIEGAS X 1/2 KG,"11180,00","8810,00",ACEITUNAS,1025
,,ACEITUNAS RELL. X 200 GR,"5340,00","4210,00",ACEITUNAS,1036
,,ACEITUNAS VERDES X 1 KG Nº 00,"14320,00","11280,00",ACEITUNAS,1043
,,ACEITUNAS VERDES X 1 KG Nº0,"12830,00","10100,00",ACEITUNAS,1044
,,ACEITUNAS VERDES X 1 KG Nº1,"11180,00","8810,00",ACEITUNAS,1045
,,ACEITUNAS VERDES X 1/2 KG Nº 00,"9350,00","7360,00",ACEITUNAS,1049
,,ACEITUNAS VERDES X 1/2 KG Nº 1,"6340,00","4990,00",ACEITUNAS,1050
,,ACEITUNAS VERDES X 1/2 KG Nº0,"7450,00","5860,00",ACEITUNAS,1051
,,"ACETO BALSAMICO 500 CC PET ""CRISTO DE LOS CERROS""","5760,00","4580,00",ACEITES Y VINAGRES,1064
,,ACETO BALSAMICO MILLAN X 250 cc,"10000,00","7940,00",ACEITES Y VINAGRES,2416
,,"ACETO REDUCCIÓN X 500 CC ""RECETAS DE ENTONCES""","10540,00","8300,00",ACEITES Y VINAGRES,1066
,,ACIDO ASCÓRBICO X KG,"17630,00","13890,00",SUPLEMENTOS,2346
,,ADOBO PARA PIZZA X KG.,"11610,00","9150,00",ESPECIAS,1068
,,AGAR AGAR,"25070,00","19750,00",ESPECIAS,2205
,,AJI MOLIDO FINO X KG.,"10960,00","8640,00",ESPECIAS,1079
,,AJIES DULCES X 110 GR,"4230,00","3320,00",ENCURTIDOS,1082
,,AJIES PICANTES X 110 GR,"4240,00","3320,00",ENCURTIDOS,1084
,,AJO EN POLVO,"7540,00","5940,00",ESPECIAS,1085
,,AJO GRANULADO X KG.,"17110,00","13480,00",ESPECIAS,1088
,,"AJO NEGRO X 50 CÁPSULAS ""NATIER""","20460,00","17830,00",SUPLEMENTOS,2054
,,ALBAHACA EN HOJAS X KG,"10540,00","8300,00",ESPECIAS,1099
,,ALCAPARRAS X 100 GR,"8610,00","6790,00",ENCURTIDOS,1100
,,"ALFAJOR SIN AZUCAR ""BANDA""","1290,00","1100,00",PRODUCTOS SIN TACC,2513
,,ALFAJORES MAICENA SIN TACC X 6 unidades,"4800,00","4640,00",PRODUCTOS SIN TACC,2027
,,ALMENDRA GUARA  X KG ,"27700,00","21820,00",FRUTOS SECOS,1884
,,ALMENDRA NONPAREIL  X KG,"25280,00","19920,00",FRUTOS SECOS,1842
,,ALMENDRA PARTIDA X KG ,"17940,00","14140,00",FRUTOS SECOS,1103
,,ALMENDRAS CON CHOCO xKG,"51590,00","44010,00","DULCES, MIEL Y CHOCOLATES",2001
